p,d,a
0.05,80,1.25
0.05,81,1.259
0.05,82,1.256
0.05,83,1.265
0.05,84,1.262
0.05,85,1.271
0.05,86,1.267
0.05,87,1.276
0.05,88,1.273
0.05,89,1.281
0.05,90,1.278
0.05,91,1.275
0.05,92,1.283
0.05,93,1.28
0.05,94,1.287
0.05,95,1.284
0.05,96,1.292
0.05,97,1.289
0.05,98,1.296
0.05,99,1.293
0.05,100,1.3
0.05,101,1.297
0.05,102,1.304
0.05,103,1.301
0.05,104,1.308
0.05,105,1.305
0.05,106,1.311
0.05,107,1.308
0.05,108,1.315
0.05,109,1.312
0.05,110,1.318
0.05,111,1.315
0.05,112,1.321
0.05,113,1.319
0.05,114,1.325
0.05,115,1.322
0.05,116,1.328
0.05,117,1.325
0.05,118,1.331
0.05,119,1.328
0.05,120,1.333
0.05,121,1.331
0.05,122,1.336
0.05,123,1.333
0.05,124,1.339
0.05,125,1.336
0.05,126,1.341
0.05,127,1.339
0.05,128,1.344
0.05,129,1.341
0.05,130,1.346
0.05,131,1.344
0.05,132,1.348
0.05,133,1.346
0.05,134,1.351
0.05,135,1.348
0.05,136,1.353
0.05,137,1.35
0.05,138,1.355
0.05,139,1.353
0.05,140,1.357
0.05,141,1.355
0.05,142,1.359
0.05,143,1.357
0.05,144,1.361
0.05,145,1.359
0.05,146,1.363
0.05,147,1.367
0.05,148,1.365
0.05,149,1.369
0.05,150,1.367
0.05,151,1.371
0.05,152,1.368
0.05,153,1.373
0.05,154,1.37
0.05,155,1.374
0.05,156,1.372
0.05,157,1.376
0.05,158,1.373
0.05,159,1.377
0.05,160,1.375
0.05,161,1.379
0.05,162,1.377
0.05,163,1.38
0.05,164,1.378
0.05,165,1.382
0.05,166,1.386
0.05,167,1.383
0.05,168,1.387
0.05,169,1.385
0.05,170,1.388
0.05,171,1.386
0.05,172,1.39
0.05,173,1.387
0.05,174,1.391
0.05,175,1.389
0.05,176,1.392
0.05,177,1.39
0.05,178,1.393
0.05,179,1.397
0.05,180,1.394
0.05,181,1.398
0.05,182,1.396
0.05,183,1.399
0.05,184,1.397
0.05,185,1.4
0.05,186,1.398
0.05,187,1.401
0.05,188,1.399
0.05,189,1.402
0.05,190,1.405
0.05,191,1.403
0.05,192,1.406
0.05,193,1.404
0.05,194,1.407
0.05,195,1.405
0.05,196,1.408
0.05,197,1.406
0.05,198,1.409
0.05,199,1.407
0.05,200,1.41
0.01,1,2.0
0.01,2,1.0
0.01,3,0.667
0.01,4,0.75
0.01,5,0.6
0.01,6,0.667
0.01,7,0.571
0.01,8,0.5
0.01,9,0.556
0.01,10,0.5
0.01,11,0.545
0.01,12,0.583
0.01,13,0.538
0.01,14,0.571
0.01,15,0.6
0.01,16,0.625
0.01,17,0.647
0.01,18,0.667
0.01,19,0.684
0.01,20,0.65
0.01,21,0.667
0.01,22,0.682
0.01,23,0.696
0.01,24,0.75
0.01,25,0.76
0.01,26,0.769
0.01,27,0.778
0.01,28,0.786
0.01,29,0.793
0.01,30,0.8
0.01,31,0.806
0.01,32,0.813
0.01,33,0.818
0.01,34,0.824
0.01,35,0.857
0.01,36,0.861
0.01,37,0.865
0.01,38,0.868
0.01,39,0.872
0.01,40,0.9
0.01,41,0.902
0.01,42,0.905
0.01,43,0.907
0.01,44,0.909
0.01,45,0.933
0.01,46,0.935
0.01,47,0.936
0.01,48,0.938
0.01,49,0.959
0.01,50,0.96
0.01,51,0.961
0.01,52,0.962
0.01,53,0.981
0.01,54,0.981
0.01,55,0.982
0.01,56,0.982
0.01,57,1.0
0.01,58,1.0
0.01,59,1.0
0.01,60,1.0
0.01,61,1.016
0.01,62,1.016
0.01,63,1.016
0.01,64,1.031
0.01,65,1.031
0.01,66,1.03
0.01,67,1.045
0.01,68,1.044
0.01,69,1.043
0.01,70,1.057
0.01,71,1.056
0.01,72,1.056
0.01,73,1.068
0.01,74,1.068
0.01,75,1.067
0.01,76,1.079
0.01,77,1.078
0.01,78,1.077
0.01,79,1.089
0.01,80,1.088
0.01,81,1.086
0.01,82,1.098
0.01,83,1.096
0.01,84,1.095
0.01,85,1.106
0.01,86,1.105
0.01,87,1.103
0.01,88,1.114
0.01,89,1.112
0.01,90,1.122
0.01,91,1.121
0.01,92,1.12
0.01,93,1.129
0.01,94,1.128
0.01,95,1.126
0.01,96,1.135
0.01,97,1.134
0.01,98,1.143
0.01,99,1.141
0.01,100,1.14
0.01,101,1.149
0.01,102,1.147
0.01,103,1.155
0.01,104,1.154
0.01,105,1.152
0.01,106,1.16
0.01,107,1.159
0.01,108,1.167
0.01,109,1.165
0.01,110,1.164
0.01,111,1.171
0.01,112,1.17
0.01,113,1.177
0.01,114,1.175
0.01,115,1.174
0.01,116,1.181
0.01,117,1.179
0.01,118,1.186
0.01,119,1.185
0.01,120,1.183
0.01,121,1.19
0.01,122,1.189
