p,d,a
0.01,111,0.586
0.01,112,0.589
0.01,113,0.584
0.01,114,0.588
0.01,115,0.591
0.01,116,0.586
0.01,117,0.59
0.01,118,0.593
0.01,119,0.588
0.01,120,0.592
0.01,121,0.595
0.01,122,0.598
0.01,123,0.593
0.01,124,0.597
0.01,125,0.6
0.01,126,0.595
0.01,127,0.598
0.01,128,0.602
0.01,129,0.597
0.01,130,0.6
0.01,131,0.603
0.01,132,0.606
0.01,133,0.602
0.01,134,0.604
0.01,135,0.607
0.01,136,0.603
0.01,137,0.606
0.01,138,0.609
0.01,139,0.612
0.01,140,0.607
0.01,141,0.61
0.01,142,0.613
0.01,143,0.608
0.01,144,0.611
0.01,145,0.614
0.01,146,0.616
0.01,147,0.612
0.01,148,0.615
0.01,149,0.617
0.01,150,0.613
0.01,151,0.616
0.01,152,0.618
0.01,153,0.621
0.01,154,0.617
0.01,155,0.619
0.01,156,0.622
0.01,157,0.618
0.01,158,0.62
0.01,159,0.623
0.01,160,0.625
0.01,161,0.621
0.01,162,0.623
0.01,163,0.626
0.01,164,0.622
0.01,165,0.624
0.01,166,0.627
0.01,167,0.629
0.01,168,0.625
0.01,169,0.627
0.01,170,0.629
0.01,171,0.632
0.01,172,0.628
0.01,173,0.63
0.01,174,0.632
0.01,175,0.629
0.01,176,0.631
0.01,177,0.633
0.01,178,0.635
0.01,179,0.631
0.01,180,0.633
0.01,181,0.635
0.01,182,0.637
0.01,183,0.634
0.01,184,0.636
0.01,185,0.638
0.01,186,0.634
0.01,187,0.636
0.01,188,0.638
0.01,189,0.64
0.01,190,0.637
0.01,191,0.639
0.01,192,0.641
0.01,193,0.642
0.01,194,0.639
0.01,195,0.641
0.01,196,0.643
